customer_id,first_name,last_name,gender,date_of_birth,age,email,phone_number,address,city,state,zip_code,occupation,income,credit_score,marital_status,education,customer_segment,registration_date,customer_lifetime_value,has_mobile_app,paperless_billing,referral_source,risk_score
57fc965b-99c8-46d0-8eca-25b08ba5d750,Danielle,Johnson,Male,1983-05-31,42,john21@example.net,001-581-896-0013x3890,9402 Peterson Drives,Port Matthew,CO,50298,Engineer,27492,743,Single,Associate Degree,Premium,2019-02-01,669,True,True,Other,42.77
bc961800-b5ed-4e21-ac1e-05e267388751,Melanie,Munoz,Male,1998-05-31,27,blairamanda@example.com,584-695-9310,16475 Mitchell Fords,Jacquelineland,PA,83728,Doctor,72789,795,Married,Bachelor's Degree,Premium,2019-08-10,1731,True,False,Agent,45.47
5726d0d3-0c23-4c9e-986e-ce433ae4d515,Jessica,Martin,Female,2002-05-31,23,onelson@example.net,+1-335-503-0564,76724 John Points Suite 969,Coxberg,NY,65187,Engineer,39870,680,Single,High School,Standard,2019-01-17,702,False,True,Agent,95.76
b5c88d13-8bec-4a5d-9f83-18fced0089e8,Brandon,Rodriguez,Female,1985-05-30,40,laurahenderson@example.org,(669)878-4801x8451,0482 Monica Hills,East Nathaniel,GA,71198,Lawyer,9616,791,Married,High School,Basic,2025-01-31,844,False,True,Advertisement,54.09
2b9a1d52-cc7e-4c06-bdf9-d476398dde4c,Sandra,Sellers,Female,1974-05-31,51,tracy15@example.com,403.491.1718,248 Brandt Plains Apt. 465,Lammouth,DE,32994,Doctor,44372,664,Single,Master's Degree,Standard,2019-12-25,956,False,True,Website,5.54
646c5d4a-7c6f-4a2d-ab9c-f9764f7e35ea,Matthew,Chapman,Male,1980-05-30,45,briannasmith@example.net,+1-403-910-5183x4738,6311 Gomez Loop,Shieldston,TX,86150,Consultant,38536,764,Widowed,Master's Degree,Basic,2025-04-19,1222,False,False,Advertisement,63.93
ccab95af-3e4d-42ba-9257-61a601ef67dd,Corey,Powell,Female,1975-05-31,50,lauren13@example.org,387.926.2473,80132 Tucker Forest,Barreraburgh,MS,00783,Sales Representative,65222,681,Married,Associate Degree,Standard,2025-04-22,686,True,True,Other,73.18
a6579c6c-476d-4f94-be77-376fbdef5da6,Joseph,Bowers,Male,1997-05-30,28,smitchell@example.net,+1-272-734-3098,97882 Susan Common,North Brooke,TX,31329,Tradesperson,39333,791,Married,Trade School,Standard,2021-03-27,602,True,False,Website,23.68
db7b94fd-ef77-4e6c-8466-156dea884c78,Shelly,Hudson,Male,1971-05-31,54,harveyrobert@example.net,001-485-643-5346,1079 Charles Forest Suite 251,West Justin,NV,71701,Business Owner,29287,707,Married,High School,Basic,2023-05-02,1183,False,True,Advertisement,40.17
c9feda0a-47e0-4211-9262-3b93e6e3ef9c,Cheryl,Archer,Female,2000-05-30,25,contrerasangela@example.net,524-711-8244,487 Whitehead Vista,North Cynthiaview,AZ,00965,Accountant,50989,749,Married,Associate Degree,Standard,2020-09-28,1586,False,False,Other,40.54
97fbcb34-9fb8-40f2-8e58-0b78308c3360,David,Whitney,Male,1985-05-30,40,joycearnold@example.com,+1-401-812-8059,45053 Elizabeth Knoll,Dicksonberg,IA,21800,Accountant,418661,809,Married,High School,Premium,2025-03-30,704,True,True,Agent,79.42
51754860-28df-4648-a8a2-591508a87d88,Lisa,Keith,Female,1950-05-31,75,whitesandra@example.com,+1-534-221-6073x37543,5414 May Locks,Sheilaville,FM,34738,Self-employed,69776,786,Married,Bachelor's Degree,High-Risk,2019-08-29,3049,False,True,Website,68.49
ee7ab136-0a4b-4a0c-8b4c-d079ac275eb7,Sydney,Baker,Female,1996-05-30,29,carlsonmichael@example.com,(798)816-9340x60883,595 Jennifer Hills,Elizabethmouth,MO,91885,Business Owner,29544,601,Married,Bachelor's Degree,Standard,2020-06-23,816,False,True,Other,91.35
29e2513a-1421-4401-8d1b-f99d929998db,David,Fisher,Female,1963-05-31,62,lbyrd@example.net,001-746-980-4436,3872 Justin Shore Suite 134,Port James,AK,06558,Service Worker,23326,653,Single,High School,Basic,2020-02-15,1282,True,False,Advertisement,2.93
c7e092b0-695e-4979-9fa9-a225278ab177,Thomas,Atkinson,Female,1992-05-30,33,gibsonolivia@example.net,567.463.2016,83172 Contreras Points Suite 798,Rivasside,NV,21362,Consultant,89992,786,Married,Associate Degree,Standard,2023-08-13,1805,True,True,Advertisement,81.79
0727fdf4-bd1a-43b9-af29-e461e144a17a,Thomas,Green,Male,1966-05-31,59,maryramirez@example.net,434.571.4345x5812,231 Russell Plains Suite 603,Priceshire,UT,03061,Accountant,51791,673,Single,Doctorate,Standard,2024-05-28,623,False,True,Other,75.77
a6e884d3-7576-4be1-a102-96070468d347,Kathy,James,Male,1960-05-30,65,benderkenneth@example.com,(488)993-7346x70656,806 Christopher Meadow,Port Steven,AR,34600,Consultant,20832,802,Married,Bachelor's Degree,Standard,2021-01-23,565,False,True,Agent,23.25
9d417c9b-6994-4d10-b133-c884fa332d15,Jason,Murphy,Female,1985-05-30,40,aramirez@example.com,270-580-5310,92327 Anne Forge,Lyonsstad,GA,79916,Engineer,136735,652,Single,Associate Degree,Standard,2022-08-29,1514,True,True,Agent,7.67
fe50b82d-6230-4482-8758-1e5dabea714e,Julie,Wilson,Male,1959-05-31,66,tamirodriguez@example.org,296-763-1931x4919,518 Smith Manor Suite 165,Zimmermanchester,HI,96681,Business Owner,28955,714,Married,Associate Degree,Standard,2022-01-23,1749,True,True,Other,58.04
47c2410c-07a0-4e48-8a6c-70373580c5ca,Debra,Gilbert,Male,1967-05-31,58,umarshall@example.net,253-914-7379x965,73545 Beard Squares Suite 808,North John,MT,64539,Executive,170553,745,Single,High School,Premium,2022-04-18,1180,False,False,Advertisement,41.7
43bb1987-5f2d-4837-91f6-de2dbf2ba942,John,Alvarez,Male,1978-05-31,47,bwest@example.org,736-734-9578x8568,4431 Leslie Summit Apt. 337,Jennyhaven,PA,37594,Lawyer,45295,715,Married,Bachelor's Degree,Basic,2025-04-10,614,True,True,Agent,19.83
250490be-6adf-4463-b1c3-bb2d5c96ca05,Marissa,Phillips,Female,2000-05-30,25,harry08@example.org,900-984-2710x947,04711 Vasquez Ports Apt. 229,Christopherbury,DE,73648,Accountant,22178,798,Married,Associate Degree,Standard,2023-10-05,1210,True,False,Other,10.69
37979e60-46a3-41dd-b73b-adc012c38c86,Catherine,Gibbs,Male,1957-05-30,68,kimberlyjames@example.com,496-549-9091x3341,120 Hayes Ranch,Carterbury,LA,93163,Doctor,41188,607,Divorced,Master's Degree,Standard,2020-05-21,1908,False,False,Agent,86.6
68469b69-fc79-4f7e-a652-beb7695c6257,Michele,Jones,Male,1988-05-30,37,sandrafrench@example.net,001-336-218-3242,9947 Taylor Hollow,Benderhaven,ND,65223,Sales Representative,51610,687,Married,Trade School,Standard,2021-06-22,675,False,False,Advertisement,69.96
6c34c319-7490-4b2c-ac9d-ca5a576e5333,Carly,Preston,Female,1955-05-31,70,cassandra01@example.org,+1-899-904-9027x87429,5655 Mia Isle,Steeleport,TN,52989,Accountant,85051,806,Married,Associate Degree,Premium,2024-02-08,2551,True,False,Website,5.96
94f9d09a-a8c4-4068-a069-246fa6a2f09c,Andrea,Gibson,Female,1964-05-30,61,johnny16@example.net,9879603859,48247 Martinez Roads,Lake Eric,OH,02293,Service Worker,156420,733,Divorced,Bachelor's Degree,Premium,2022-04-11,2764,True,True,Website,59.91
cb5ed366-2295-4576-b127-b52d16da225b,Christopher,Gay,Male,1985-05-30,40,murraydavid@example.org,448.346.7737x8263,5840 Barber Villages Suite 278,Reedside,WV,71729,Nurse,50029,692,Married,Master's Degree,Standard,2021-01-18,1057,True,True,Advertisement,66.08
e742fa81-4255-43e3-a4b0-4e692cc7cf92,Sarah,Kane,Female,1963-05-31,62,ashleyhall@example.com,7573662702,87026 Charles Tunnel Suite 596,Port Markside,MS,42006,IT Professional,9333,745,Married,Bachelor's Degree,Standard,2022-10-18,751,False,True,Friend,46.27
7bbbd019-a1e2-42ab-bde0-e751df1c3c3f,Paige,Freeman,Male,1994-05-31,31,williamsonjimmy@example.net,631-761-1724x0050,2386 George Common Suite 937,East Steven,KS,60737,Engineer,82211,707,Married,Trade School,High-Risk,2020-03-12,890,True,True,Other,27.25
47b07487-8773-4b0a-aca8-47e3578041cd,Albert,Ballard,Female,1978-05-31,47,erica21@example.com,(894)764-7436x713,406 Smith Way Apt. 974,New Laurie,IN,83943,Doctor,30941,825,Divorced,Bachelor's Degree,Standard,2019-09-28,4067,False,True,Other,30.64
